sample,axis_3072,axis_1536,antipode_of_3072,same_plane,Sp_diff_axis_vs_antipode,S_min_3072,S_min_1536
fresh_35,1106,1106,1970,True,0.0,276.6228332519531,276.6228332519531
fresh_36,82,82,2998,True,0.0,336.9977111816406,336.9977111816406
fresh_37,521,521,2537,True,0.0,251.57257080078125,251.57257080078125
fresh_38,697,697,2393,True,0.0,345.379150390625,345.379150390625
fresh_39,186,186,2878,True,0.0,288.9186096191406,288.9186096191406
fresh_40,61,61,3001,True,0.0,319.08795166015625,319.08795166015625
fresh_41,39,39,3039,True,0.0,350.8604736328125,350.8604736328125
fresh_42,17,17,3059,True,0.0,385.7750549316406,385.7750549316406
fresh_43,39,39,3039,True,0.0,208.71365356445312,208.71365356445312
fresh_44,943,943,2127,True,0.0,520.45556640625,520.45556640625
fresh_45,76,76,2992,True,0.0,346.7982482910156,346.7982482910156
fresh_46,396,396,2656,True,0.0,340.75115966796875,340.75115966796875
fresh_47,6,6,3066,True,0.0,383.24713134765625,383.24713134765625
fresh_48,16,16,3058,True,0.0,336.56671142578125,336.56671142578125
fresh_49,450,450,2592,True,0.0,265.978271484375,265.978271484375
fresh_50,21,21,3051,True,0.0,277.6703186035156,277.6703186035156
fresh_51,108,108,2970,True,0.0,369.334716796875,369.334716796875
fresh_52,126,126,2958,True,0.0,427.180908203125,427.180908203125
fresh_53,645,645,2405,True,0.0,308.2951965332031,308.2951965332031
fresh_54,747,747,2315,True,0.073455810546875,327.5293273925781,327.5293273925781
fresh_55,376,376,2692,True,0.0,264.0127258300781,264.0127258300781
fresh_56,205,205,2857,True,0.0,243.97601318359375,243.97601318359375
fresh_57,40,40,3022,True,0.0,354.54144287109375,354.54144287109375
fresh_58,160,160,2926,True,0.0,182.79293823242188,182.79293823242188
fresh_59,58,58,3020,True,0.0,359.0598449707031,359.0598449707031
fresh_60,98,98,2960,True,0.0,279.5803527832031,279.5803527832031
fresh_61,2052,996,996,True,0.13739013671875,314.71771240234375,314.8551025390625
fresh_62,1056,1056,1984,True,0.0218505859375,418.72259521484375,418.72259521484375
fresh_63,850,850,2226,True,0.0,343.1692810058594,343.1692810058594
fresh_64,14,14,3056,True,0.0,424.0039978027344,424.0039978027344
fresh_65,15,15,3057,True,0.0,390.2071533203125,390.2071533203125
fresh_66,1180,1180,1916,True,0.0,305.1062316894531,305.1062316894531
fresh_67,170,170,2900,True,0.0,366.2514953613281,366.2514953613281
fresh_68,58,58,3020,True,0.0,352.9097900390625,352.9097900390625
fresh_69,44,44,3026,True,0.0,343.8955078125,343.8955078125
fresh_70,25,25,3041,True,0.0,373.720703125,373.720703125
fresh_71,1474,1474,1570,True,0.0,462.0442810058594,462.0442810058594
fresh_72,615,615,2439,True,0.0,507.6534729003906,507.6534729003906
fresh_73,1240,1240,1848,True,0.0,479.3345947265625,479.3345947265625
fresh_74,786,786,2290,True,0.0,326.0260009765625,326.0260009765625
fresh_75,105,105,2967,True,0.0,326.009521484375,326.009521484375
fresh_76,424,424,2626,True,0.0,417.8194580078125,417.8194580078125
fresh_77,98,98,2960,True,0.0,554.57666015625,554.57666015625
fresh_78,128,128,2928,True,0.0,389.6091613769531,389.6091613769531
fresh_79,1047,1047,2039,True,0.0,287.9875183105469,287.9875183105469
fresh_80,2040,1048,1048,True,0.18017578125,285.90911865234375,286.08929443359375
fresh_81,37,37,3037,True,0.0,471.33734130859375,471.33734130859375
fresh_82,1326,1326,1742,True,0.0,451.5218505859375,451.5218505859375
fresh_83,215,215,2867,True,0.0,476.88690185546875,476.88690185546875
fresh_84,136,136,2936,True,0.0,371.0229187011719,371.0229187011719
fresh_85,892,892,2204,True,0.0,286.1968994140625,286.1968994140625
fresh_86,1060,1060,1988,True,0.0,442.3258972167969,442.3258972167969
fresh_87,83,83,2999,True,0.0,222.1065216064453,222.1065216064453
fresh_88,561,561,2513,True,0.0,260.6370849609375,260.6370849609375
fresh_89,1300,1300,1780,True,0.0,497.0872802734375,497.0872802734375
fresh_90,36,36,3036,True,0.0,492.26507568359375,492.26507568359375
fresh_91,405,405,2665,True,0.0,410.135498046875,410.135498046875
fresh_92,238,238,2848,True,0.0,447.3806457519531,447.3806457519531
fresh_93,12,12,3054,True,0.0,469.4664001464844,469.4664001464844
fresh_94,96,96,2986,True,0.0,380.3146667480469,380.3146667480469
fresh_95,30,30,3046,True,0.0,270.5040283203125,270.5040283203125
fresh_96,400,400,2660,True,0.0,219.45111083984375,219.45111083984375
fresh_97,200,200,2852,True,0.0,314.4494934082031,314.4494934082031
fresh_98,806,806,2246,True,0.0,337.4669189453125,337.4669189453125
fresh_99,1459,1459,1619,True,0.0,496.95318603515625,496.95318603515625
fresh_100,92,92,2982,True,0.0,321.999267578125,321.999267578125
fresh_101,17,17,3059,True,0.0,424.3245544433594,424.3245544433594
fresh_102,256,256,2822,True,0.0,380.1297912597656,380.1297912597656
fresh_103,73,73,2989,True,0.0,432.2886657714844,432.2886657714844
fresh_104,128,128,2928,True,0.0,327.6239318847656,327.6239318847656
fresh_105,1058,1058,1986,True,0.0,473.12567138671875,473.12567138671875
fresh_106,3,3,3069,True,0.0,229.3756561279297,229.3756561279297
